"DistrictNumber",District,"CampusNumber",Campus,Region,County,"SchoolType","GradesServed","AlternativeEducationAccountability",Charter,"Number ofStudents","%EconomicallyDisadvantaged","% EB/ELStudents","OverallRating","OverallScore","StudentAchievementRating","StudentAchievementScore","SchoolProgressRating","SchoolProgressScore","AcademicGrowthRating","AcademicGrowthScore","RelativePerformanceRating","RelativePerformanceScore","Closingthe Gaps Rating","Closingthe Gaps Score","SupportLabel","PublicEducationGrant","DistinctionELA/Reading","DistinctionMathematics","DistinctionScience","DistinctionSoc Studies","DistinctionProgress","DistinctionClosing the Gaps","DistinctionPostsecondaryReadiness","US CongressDistrict","US CongressElection District","TX HouseDistrict","TX HouseElection District","TX SenateDistrict","TX SenateElection District","Campus EnrollmentType"
001902,CAYUGA ISD,,,REGION 07: KILGORE,ANDERSON,District,,No,No,574,40.8%,1.0%,A,94,A,95,A,93,B,84,A,93,A,93,,,,,,,,,Earned,,,,,,,
001902,CAYUGA ISD,001902001,CAYUGA H S,REGION 07: KILGORE,ANDERSON,High School,09 - 12,No,No,169,34.3%,1.2%,A,96,A,94,A,90,A,90,B,88,A,100,,,Earned,Earned,Earned,Not Earned,Earned,Earned,Earned,005,006,008,008,003,003,ZONED SCHOOL-TRANSFERS ACCEPTED
001902,CAYUGA ISD,001902041,CAYUGA MIDDLE,REGION 07: KILGORE,ANDERSON,Middle School,06 - 08,No,No,159,39.6%,0.6%,B,84,B,86,B,82,C,74,B,82,C,79,,,Earned,Not Earned,Not Earned,Not Earned,Not Earned,Not Earned,Earned,005,006,008,008,003,003,ZONED SCHOOL-TRANSFERS ACCEPTED
001902,CAYUGA ISD,001902103,CAYUGA EL,REGION 07: KILGORE,ANDERSON,Elementary,KG - 05,No,No,246,45.9%,1.2%,A,91,A,92,A,90,B,82,A,90,B,87,,,Earned,Earned,Earned,,Not Earned,Not Earned,Earned,005,006,008,008,003,003,ZONED SCHOOL-TRANSFERS ACCEPTED
001903,ELKHART ISD,,,REGION 07: KILGORE,ANDERSON,District,,No,No,"1,150",45.4%,2.8%,A,91,A,93,A,92,B,85,A,92,B,87,,,,,,,,,Not Earned,,,,,,,
001903,ELKHART ISD,001903001,ELKHART H S,REGION 07: KILGORE,ANDERSON,High School,09 - 12,No,No,307,34.5%,1.3%,B,89,A,92,B,86,C,73,B,86,B,81,,,Earned,Not Earned,Earned,Earned,Not Earned,Not Earned,Not Earned,005,006,008,008,003,003,ZONED SCHOOL-TRANSFERS ACCEPTED
001903,ELKHART ISD,001903041,ELKHART MIDDLE,REGION 07: KILGORE,ANDERSON,Middle School,06 - 08,No,No,268,43.7%,1.9%,B,83,B,86,B,84,C,77,B,84,C,76,,,Not Earned,Not Earned,Not Earned,Earned,Not Earned,Not Earned,Not Earned,005,006,008,008,003,003,ZONED SCHOOL-TRANSFERS ACCEPTED
001903,ELKHART ISD,001903101,ELKHART EL,REGION 07: KILGORE,ANDERSON,Elementary,PK - 02,No,No,320,57.8%,4.1%,A,91,Not Rated,        .,Not Rated,        .,Not Rated,        .,Not Rated,        .,Not Rated,        .,,,,,,,,,,005,006,008,008,003,003,ZONED SCHOOL-TRANSFERS ACCEPTED
001903,ELKHART ISD,001903102,ELKHART INT,REGION 07: KILGORE,ANDERSON,Elementary,03 - 05,No,No,255,44.7%,3.9%,A,91,A,90,B,88,B,88,B,85,A,94,,,Not Earned,Not Earned,Earned,,Not Earned,Not Earned,Not Earned,005,006,008,008,003,003,ZONED SCHOOL-TRANSFERS ACCEPTED
001904,FRANKSTON ISD,,,REGION 07: KILGORE,ANDERSON,District,,No,No,808,54.2%,4.1%,A,92,A,92,A,92,B,87,A,92,A,91,,,,,,,,,Not Earned,,,,,,,
001904,FRANKSTON ISD,001904001,FRANKSTON H S,REGION 07: KILGORE,ANDERSON,High School,09 - 12,No,No,232,42.2%,4.7%,A,95,A,93,A,92,A,92,B,88,A,100,,,Earned,Earned,Not Earned,Not Earned,Earned,Earned,Earned,005,006,008,008,003,003,ZONED SCHOOL-TRANSFERS ACCEPTED
001904,FRANKSTON ISD,001904041,FRANKSTON MIDDLE,REGION 07: KILGORE,ANDERSON,Middle School,06 - 08,No,No,203,52.7%,3.4%,C,79,C,79,B,80,C,75,B,80,C,77,,,Not Earned,Earned,Not Earned,Not Earned,Not Earned,Not Earned,Not Earned,005,006,008,008,003,003,ZONED SCHOOL-TRANSFERS ACCEPTED
001904,FRANKSTON ISD,001904102,FRANKSTON EL,REGION 07: KILGORE,ANDERSON,Elementary,PK - 05,No,No,373,62.5%,4.0%,A,93,A,90,A,90,B,88,A,90,A,100,,,Not Earned,Earned,Earned,,Not Earned,Earned,Earned,005,006,008,008,003,003,ZONED SCHOOL-TRANSFERS ACCEPTED
001906,NECHES ISD,,,REGION 07: KILGORE,ANDERSON,District,,No,No,342,54.1%,2.0%,A,97,A,95,A,94,A,92,A,94,A,100,,,,,,,,,Earned,,,,,,,
001906,NECHES ISD,001906002,NECHES H S,REGION 07: KILGORE,ANDERSON,High School,09 - 12,No,No,104,48.1%,2.9%,A,95,A,95,A,92,B,89,A,92,Not Rated,        .,,,Earned,Earned,Not Earned,Not Earned,Earned,,Earned,005,006,008,008,003,003,ZONED SCHOOL-TRANSFERS ACCEPTED
001906,NECHES ISD,001906102,NECHES EL,REGION 07: KILGORE,ANDERSON,Elementary,PK - 08,No,No,238,56.7%,1.7%,A,93,A,90,B,89,B,89,B,89,A,100,,,Not Earned,Earned,Not Earned,Earned,Earned,Earned,Earned,005,006,008,008,003,003,ZONED SCHOOL-TRANSFERS ACCEPTED
001907,PALESTINE ISD,,,REGION 07: KILGORE,ANDERSON,District,,No,No,"3,360",81.6%,17.7%,B,89,B,88,A,92,B,87,A,92,B,83,,,,,,,,,Not Earned,,,,,,,
001907,PALESTINE ISD,001907001,PALESTINE H S,REGION 07: KILGORE,ANDERSON,High School,09 - 12,No,No,"1,040",79.9%,13.8%,B,88,B,87,B,89,B,81,B,89,B,84,,,Earned,Earned,Earned,Not Earned,Earned,Earned,Earned,005,006,008,008,003,003,ZONED SCHOOL-TRANSFERS ACCEPTED
001907,PALESTINE ISD,001907041,PALESTINE J H,REGION 07: KILGORE,ANDERSON,Middle School,07 - 08,No,No,502,78.1%,18.9%,B,86,C,79,B,89,B,86,B,89,C,78,,,Not Earned,Not Earned,Earned,Earned,Earned,Not Earned,Earned,005,006,008,008,003,003,ZONED SCHOOL-TRANSFERS ACCEPTED
001907,PALESTINE ISD,001907101,NORTHSIDE PRI,REGION 07: KILGORE,ANDERSON,Elementary,KG - 01,No,No,484,87.4%,15.7%,C,78,Not Rated,        .,Not Rated,        .,Not Rated,        .,Not Rated,        .,Not Rated,        .,,,,,,,,,,005,006,008,008,003,003,ZONED SCHOOL-TRANSFERS ACCEPTED
001907,PALESTINE ISD,001907102,WASHINGTON EARLY CHILDHOOD CENTER,REGION 07: KILGORE,ANDERSON,Elementary,PK - PK,No,No,227,87.2%,9.3%,C,78,Not Rated,        .,Not Rated,        .,Not Rated,        .,Not Rated,        .,Not Rated,        .,,,,,,,,,,005,006,008,008,003,003,ZONED SCHOOL-TRANSFERS ACCEPTED
001907,PALESTINE ISD,001907107,SOUTHSIDE EL,REGION 07: KILGORE,ANDERSON,Elementary,02 - 03,No,No,468,81.0%,21.4%,C,78,C,74,B,81,Not Rated,        .,B,81,C,72,,,Not Earned,Not Earned,,,,Not Earned,Earned,005,006,008,008,003,003,ZONED SCHOOL-TRANSFERS ACCEPTED
001907,PALESTINE ISD,001907110,STORY INT,REGION 07: KILGORE,ANDERSON,Elementary,04 - 06,No,No,639,81.1%,25.0%,B,80,C,74,B,82,C,77,B,82,C,76,,,Not Earned,Not Earned,Not Earned,,Not Earned,Not Earned,Not Earned,005,006,008,008,003,003,ZONED SCHOOL-TRANSFERS ACCEPTED
001908,WESTWOOD ISD,,,REGION 07: KILGORE,ANDERSON,District,,No,No,"1,332",74.0%,7.1%,B,88,B,85,A,92,B,89,A,92,C,77,,,,,,,,,Not Earned,,,,,,,
001908,WESTWOOD ISD,001908002,WESTWOOD H S,REGION 07: KILGORE,ANDERSON,High School,09 - 12,No,No,400,67.5%,7.0%,B,85,B,85,B,89,C,79,B,89,C,77,,,Earned,Not Earned,Earned,Not Earned,Not Earned,Not Earned,Not Earned,005,006,008,008,003,003,ZONED SCHOOL-TRANSFERS ACCEPTED
001908,WESTWOOD ISD,001908041,WESTWOOD J H,REGION 07: KILGORE,ANDERSON,Middle School,07 - 08,No,No,206,77.7%,7.3%,C,77,Not Rated: Senate Bill 1365,67,C,79,C,79,C,72,C,72,Targeted Support,,Not Earned,Earned,Not Earned,Not Earned,Not Earned,Not Earned,Not Earned,005,006,008,008,003,003,ZONED SCHOOL-TRANSFERS ACCEPTED
001908,WESTWOOD ISD,001908101,WESTWOOD EL,REGION 07: KILGORE,ANDERSON,Elementary,03 - 06,No,No,384,74.5%,8.1%,B,83,C,72,B,86,B,86,C,77,C,76,Targeted Support,,Not Earned,Not Earned,Not Earned,,Not Earned,Not Earned,Not Earned,005,006,008,008,003,003,ZONED SCHOOL-TRANSFERS ACCEPTED
001908,WESTWOOD ISD,001908102,WESTWOOD PRI,REGION 07: KILGORE,ANDERSON,Elementary,EE - 02,No,No,342,78.9%,6.1%,B,83,Not Rated,        .,Not Rated,        .,Not Rated,        .,Not Rated,        .,Not Rated,        .,,,,,,,,,,005,006,008,008,003,003,ZONED SCHOOL-TRANSFERS ACCEPTED
001909,SLOCUM ISD,,,REGION 07: KILGORE,ANDERSON,District,,No,No,361,46.8%,0.6%,B,89,A,92,A,91,B,89,A,91,B,83,,,,,,,,,Not Earned,,,,,,,
001909,SLOCUM ISD,001909001,SLOCUM H S,REGION 07: KILGORE,ANDERSON,High School,09 - 12,No,No,104,33.7%,0.0%,A,92,A,94,B,85,C,76,B,85,B,88,,,Earned,Not Earned,Earned,Earned,Not Earned,Not Earned,Not Earned,005,006,008,008,003,003,ZONED SCHOOL-TRANSFERS ACCEPTED
001909,SLOCUM ISD,001909101,SLOCUM PK - 8,REGION 07: KILGORE,ANDERSON,Elementary,PK - 08,No,No,257,52.1%,0.8%,B,81,B,82,B,82,B,82,B,82,C,77,,,Not Earned,Not Earned,Not Earned,Not Earned,Not Earned,Not Earned,Not Earned,005,006,008,008,003,003,ZONED SCHOOL-TRANSFERS ACCEPTED
002901,ANDREWS ISD,,,REGION 18: MIDLAND,ANDREWS,District,,No,No,"4,131",49.6%,14.2%,B,89,B,88,A,91,B,84,A,91,B,85,,,,,,,,,Not Earned,,,,,,,
002901,ANDREWS ISD,002901001,ANDREWS H S,REGION 18: MIDLAND,ANDREWS,High School,09 - 12,No,No,"1,151",44.9%,8.0%,B,86,B,89,A,90,C,73,A,90,C,76,,,Not Earned,Not Earned,Earned,Not Earned,Not Earned,Not Earned,Earned,011,019,081,088,031,031,ZONED SCHOOL-TRANSFERS ACCEPTED
002901,ANDREWS ISD,002901002,ANDREWS EDUCATION CENTER,REGION 18: MIDLAND,ANDREWS,High School,09 - 12,Yes,No,60,60.0%,3.3%,C,76,C,76,Not Rated,        .,Not Rated,        .,Not Rated,        .,Not Rated,        .,,,,,,,,,,011,019,081,088,031,031,ZONED SCHOOL-TRANSFERS ACCEPTED
002901,ANDREWS ISD,002901041,ANDREWS MIDDLE,REGION 18: MIDLAND,ANDREWS,Middle School,06 - 08,No,No,931,48.7%,11.9%,B,84,B,81,B,84,B,84,B,80,B,85,Targeted Support,,Not Earned,Not Earned,Not Earned,Earned,Earned,Earned,Earned,011,019,081,088,031,031,ZONED SCHOOL-TRANSFERS ACCEPTED
002901,ANDREWS ISD,002901101,DEVONIAN EL,REGION 18: MIDLAND,ANDREWS,Elementary,02 - 03,No,No,622,53.2%,17.7%,C,79,C,78,C,79,Not Rated,        .,C,79,C,78,,,Not Earned,Not Earned,,,,Not Earned,Not Earned,011,019,081,088,031,031,ZONED SCHOOL-TRANSFERS ACCEPTED
002901,ANDREWS ISD,002901104,UNDERWOOD EL,REGION 18: MIDLAND,ANDREWS,Elementary,04 - 05,No,No,605,50.6%,16.7%,C,74,C,74,C,75,C,75,Not Rated: Senate Bill 1365,69,C,71,,,Not Earned,Not Earned,Not Earned,,Not Earned,Not Earned,Not Earned,011,019,081,088,031,031,ZONED SCHOOL-TRANSFERS ACCEPTED
002901,ANDREWS ISD,002901105,CLEARFORK EL,REGION 18: MIDLAND,ANDREWS,Elementary,EE - 01,No,No,762,53.1%,22.6%,C,79,Not Rated,        .,Not Rated,        .,Not Rated,        .,Not Rated,        .,Not Rated,        .,,,,,,,,,,011,019,081,088,031,031,ZONED SCHOOL-TRANSFERS ACCEPTED
003801,PINEYWOODS COMMUNITY ACADEMY,,,REGION 07: KILGORE,ANGELINA,District,,No,Yes,995,57.8%,5.1%,A,92,A,93,A,93,A,90,A,93,B,89,,,,,,,,,Earned,,,,,,,
003801,PINEYWOODS COMMUNITY ACADEMY,003801001,PINEYWOODS COMMUNITY ACADEMY H S,REGION 07: KILGORE,ANGELINA,High School,09 - 12,No,Yes,258,47.7%,3.5%,A,92,A,93,A,90,A,90,A,90,A,90,,,Earned,Earned,Not Earned,Not Earned,Earned,Earned,Earned,001,017,057,009,003,003,OPEN ENROLLMENT CHARTER SCHOOL
003801,PINEYWOODS COMMUNITY ACADEMY,003801002,PINEYWOOD COMMUNITY ACADEMY - LIVINGSTON,REGION 07: KILGORE,ANGELINA,High School,10 - 11,No,Yes,3,0.0%,0.0%,Not Rated,        .,Not Rated,        .,Not Rated,        .,Not Rated,        .,Not Rated,        .,Not Rated,        .,,,,,,,,,,036,008,019,009,003,003,OPEN ENROLLMENT CHARTER SCHOOL
003801,PINEYWOODS COMMUNITY ACADEMY,003801042,DR TERRY ROBBINS MIDDLE,REGION 07: KILGORE,ANGELINA,Middle School,06 - 08,No,Yes,231,61.0%,6.9%,B,85,B,83,B,87,C,75,B,87,C,79,,,Not Earned,Not Earned,Not Earned,Earned,Not Earned,Not Earned,Earned,001,017,057,009,003,003,OPEN ENROLLMENT CHARTER SCHOOL
003801,PINEYWOODS COMMUNITY ACADEMY,003801103,SARAH STRINDEN EL,REGION 07: KILGORE,ANGELINA,Elementary,PK - 05,No,Yes,503,61.8%,5.2%,A,93,B,88,A,91,A,91,B,88,A,96,,,Earned,Earned,Earned,,Earned,Earned,Earned,001,017,057,009,003,003,OPEN ENROLLMENT CHARTER SCHOOL
003902,HUDSON ISD,,,REGION 07: KILGORE,ANGELINA,District,,No,No,"2,799",50.1%,6.9%,A,92,A,90,A,91,A,90,A,91,A,94,,,,,,,,,Not Earned,,,,,,,
003902,HUDSON ISD,003902001,HUDSON H S,REGION 07: KILGORE,ANGELINA,High School,09 - 12,No,No,815,42.5%,4.3%,A,91,A,93,B,88,B,87,B,88,B,85,,,Earned,Earned,Not Earned,Earned,Earned,Earned,Not Earned,001,017,057,009,003,003,ZONED SCHOOL-TRANSFERS ACCEPTED
003902,HUDSON ISD,003902004,STUBBLEFIELD LRN CTR,REGION 07: KILGORE,ANGELINA,High School,10 - 12,Yes,No,9,44.4%,0.0%,Not Rated,        .,Not Rated,        .,Not Rated,        .,Not Rated,        .,Not Rated,        .,Not Rated,        .,,,,,,,,,,001,017,057,009,003,003,COMBINED ENROLLMENT TYPE SCHOOL
003902,HUDSON ISD,003902041,HUDSON MIDDLE,REGION 07: KILGORE,ANGELINA,Middle School,06 - 08,No,No,646,51.9%,7.3%,B,89,A,90,A,91,B,84,A,91,B,85,,,Earned,Earned,Not Earned,Not Earned,Earned,Earned,Earned,001,017,057,009,003,003,ZONED SCHOOL-TRANSFERS ACCEPTED
003902,HUDSON ISD,003902101,W F PEAVY PRI,REGION 07: KILGORE,ANGELINA,Elementary,EE - 02,No,No,677,55.1%,6.4%,B,89,Not Rated,        .,Not Rated,        .,Not Rated,        .,Not Rated,        .,Not Rated,        .,,,,,,,,,,001,017,057,009,003,003,ZONED SCHOOL-TRANSFERS ACCEPTED
003902,HUDSON ISD,003902102,W H BONNER EL,REGION 07: KILGORE,ANGELINA,Elementary,03 - 05,No,No,652,52.9%,10.3%,B,89,B,82,B,86,B,86,B,82,A,96,,,Not Earned,Not Earned,Not Earned,,Not Earned,Earned,Not Earned,001,017,057,009,003,003,ZONED SCHOOL-TRANSFERS ACCEPTED
003903,LUFKIN ISD,,,REGION 07: KILGORE,ANGELINA,District,,No,No,"7,318",85.8%,20.5%,B,87,B,82,A,91,C,76,A,91,C,77,,,,,,,,,Earned,,,,,,,
003903,LUFKIN ISD,003903001,LUFKIN H S,REGION 07: KILGORE,ANGELINA,High School,09 - 12,No,No,"2,163",81.2%,12.6%,B,86,B,85,A,90,C,73,A,90,C,78,,,Earned,Earned,Earned,Earned,Not Earned,Earned,Earned,001,017,057,009,003,003,COMBINED ENROLLMENT TYPE SCHOOL
003903,LUFKIN ISD,003903004,STUBBLEFIELD LRN CTR,REGION 07: KILGORE,ANGELINA,High School,09 - 12,Yes,No,32,81.3%,12.5%,Not Rated: Senate Bill 1365,66,Not Rated: Senate Bill 1365,66,Not Rated,        .,Not Rated,        .,Not Rated,        .,Not Rated,        .,,,,,,,,,,001,017,057,009,003,003,SELECTIVE ENROL SCHL-CRITERIA-BASED
003903,LUFKIN ISD,003903044,LUFKIN MIDDLE,REGION 07: KILGORE,ANGELINA,Middle School,06 - 08,No,No,"1,596",87.1%,23.5%,B,82,C,74,B,85,Not Rated: Senate Bill 1365,66,B,85,C,74,,,Not Earned,Not Earned,Not Earned,Earned,Not Earned,Not Earned,Earned,001,017,057,009,003,003,COMBINED ENROLLMENT TYPE SCHOOL
003903,LUFKIN ISD,003903120,ANDERSON EL,REGION 07: KILGORE,ANGELINA,Elementary,03 - 05,No,No,232,92.7%,15.5%,A,91,C,75,A,92,A,92,B,84,B,89,,,Not Earned,Earned,Earned,,Earned,Earned,Earned,001,017,057,009,003,003,ZONED SCHOOL-TRANSFERS ACCEPTED
003903,LUFKIN ISD,003903121,BRANDON EL,REGION 07: KILGORE,ANGELINA,Elementary,03 - 05,No,No,379,70.2%,6.9%,B,84,B,82,B,87,B,83,B,87,C,77,,,Earned,Earned,Earned,,Not Earned,Not Earned,Earned,001,017,057,009,003,003,COMBINED ENROLLMENT TYPE SCHOOL
003903,LUFKIN ISD,003903122,BROOKHOLLOW EL,REGION 07: KILGORE,ANGELINA,Elementary,03 - 05,No,No,272,95.6%,9.6%,Not Rated: Senate Bill 1365,68,Not Rated: Senate Bill 1365,58,C,70,C,70,Not Rated: Senate Bill 1365,63,Not Rated: Senate Bill 1365,64,Targeted Support,,Not Earned,Not Earned,Not Earned,,Not Earned,Not Earned,Not Earned,001,017,057,009,003,003,ZONED SCHOOL-TRANSFERS ACCEPTED
003903,LUFKIN ISD,003903123,COSTON EL,REGION 07: KILGORE,ANGELINA,Elementary,03 - 05,No,No,198,95.5%,25.8%,B,80,Not Rated: Senate Bill 1365,69,B,83,B,83,C,76,C,73,Targeted Support,,Not Earned,Not Earned,Earned,,Not Earned,Not Earned,Not Earned,001,017,057,009,003,003,ZONED SCHOOL-TRANSFERS ACCEPTED
003903,LUFKIN ISD,003903124,DUNBAR PRI,REGION 07: KILGORE,ANGELINA,Elementary,KG - 02,No,No,405,75.8%,6.4%,B,84,Not Rated,        .,Not Rated,        .,Not Rated,        .,Not Rated,        .,Not Rated,        .,,,,,,,,,,001,017,057,009,003,003,COMBINED ENROLLMENT TYPE SCHOOL
003903,LUFKIN ISD,003903125,GARRETT PRI,REGION 07: KILGORE,ANGELINA,Elementary,PK - PK,No,No,254,99.6%,31.5%,B,87,Not Rated,        .,Not Rated,        .,Not Rated,        .,Not Rated,        .,Not Rated,        .,,,,,,,,,,001,017,057,009,003,003,SELECTIVE ENROL SCHL-CRITERIA-BASED
003903,LUFKIN ISD,003903126,HACKNEY PRI,REGION 07: KILGORE,ANGELINA,Elementary,PK - PK,No,No,130,100.0%,22.3%,B,87,Not Rated,        .,Not Rated,        .,Not Rated,        .,Not Rated,        .,Not Rated,        .,,,,,,,,,,001,017,057,009,003,003,SELECTIVE ENROL SCHL-CRITERIA-BASED
003903,LUFKIN ISD,003903127,HERTY PRI,REGION 07: KILGORE,ANGELINA,Elementary,EE - 02,No,No,254,94.9%,18.5%,B,80,Not Rated,        .,Not Rated,        .,Not Rated,        .,Not Rated,        .,Not Rated,        .,,,,,,,,,,001,017,057,009,003,003,COMBINED ENROLLMENT TYPE SCHOOL
003903,LUFKIN ISD,003903128,KURTH PRI,REGION 07: KILGORE,ANGELINA,Elementary,KG - 02,No,No,244,90.6%,12.7%,A,91,Not Rated,        .,Not Rated,        .,Not Rated,        .,Not Rated,        .,Not Rated,        .,,,,,,,,,,001,017,057,009,003,003,ZONED SCHOOL-TRANSFERS ACCEPTED
003903,LUFKIN ISD,003903129,SLACK EL,REGION 07: KILGORE,ANGELINA,Elementary,02 - 05,No,No,503,85.3%,55.7%,B,85,C,74,B,88,B,88,B,82,C,78,,,Not Earned,Not Earned,Not Earned,,Not Earned,Not Earned,Not Earned,001,017,057,009,003,003,COMBINED ENROLLMENT TYPE SCHOOL
003903,LUFKIN ISD,003903130,TROUT PRI,REGION 07: KILGORE,ANGELINA,Elementary,EE - 02,No,No,274,94.9%,8.0%,Not Rated: Senate Bill 1365,68,Not Rated,        .,Not Rated,        .,Not Rated,        .,Not Rated,        .,Not Rated,        .,,,,,,,,,,001,017,057,009,003,003,COMBINED ENROLLMENT TYPE SCHOOL
003903,LUFKIN ISD,003903131,BURLEY PRI,REGION 07: KILGORE,ANGELINA,Elementary,KG - 02,No,No,372,88.7%,51.3%,B,85,Not Rated,        .,Not Rated,        .,Not Rated,        .,Not Rated,        .,Not Rated,        .,,,,,,,,,,001,017,057,009,003,003,COMBINED ENROLLMENT TYPE SCHOOL
003903,LUFKIN ISD,003903141,SPECIAL SERVICES,REGION 07: KILGORE,ANGELINA,Elementary,EE - EE,No,No,1,0.0%,0.0%,Not Rated,        .,Not Rated,        .,Not Rated,        .,Not Rated,        .,Not Rated,        .,Not Rated,        .,,,,,,,,,,001,017,057,009,003,003,SELECTIVE ENRL SCHL-SPCL PGM-BASED
003903,LUFKIN ISD,003903201,JUVENILE DETENT CTR,REGION 07: KILGORE,ANGELINA,High School,07 - 11,Yes,No,9,100.0%,0.0%,Not Rated,        .,Not Rated,        .,Not Rated,        .,Not Rated,        .,Not Rated,        .,Not Rated,        .,,,,,,,,,,001,017,057,009,003,003,SPECIAL ASSIGNMENT SCHOOL
003904,HUNTINGTON ISD,,,REGION 07: KILGORE,ANGELINA,District,,No,No,"1,612",58.6%,1.2%,B,88,B,87,A,90,C,79,A,90,B,83,,,,,,,,,Not Earned,,,,,,,
003904,HUNTINGTON ISD,003904001,HUNTINGTON H S,REGION 07: KILGORE,ANGELINA,High School,09 - 12,No,No,479,50.5%,0.8%,B,85,B,87,B,87,C,70,B,87,C,79,,,Earned,Not Earned,Earned,Earned,Not Earned,Not Earned,Not Earned,001,017,057,009,003,003,ZONED SCHOOL-TRANSFERS ACCEPTED
003904,HUNTINGTON ISD,003904005,PRIDE ALTER SCH,REGION 07: KILGORE,ANGELINA,High School,11 - 12,Yes,No,10,80.0%,0.0%,B,80,B,80,Not Rated,        .,Not Rated,        .,Not Rated,        .,Not Rated,        .,,,,,,,,,,001,017,057,009,003,003,ZONED SCHOOL-TRANSFERS ACCEPTED
003904,HUNTINGTON ISD,003904041,HUNTINGTON MIDDLE,REGION 07: KILGORE,ANGELINA,Middle School,06 - 08,No,No,376,62.5%,2.7%,B,83,B,81,B,86,C,79,B,86,C,77,,,Not Earned,Not Earned,Not Earned,Not Earned,Not Earned,Not Earned,Earned,001,017,057,009,003,003,ZONED SCHOOL-TRANSFERS ACCEPTED
003904,HUNTINGTON ISD,003904101,HUNTINGTON EL,REGION 07: KILGORE,ANGELINA,Elementary,EE - 03,No,No,507,63.1%,0.6%,C,79,C,77,B,81,Not Rated,        .,B,81,C,74,Targeted Support,,Not Earned,Not Earned,,,,Not Earned,Not Earned,001,017,057,009,003,003,ZONED SCHOOL-TRANSFERS ACCEPTED
003904,HUNTINGTON ISD,003904102,HUNTINGTON INT,REGION 07: KILGORE,ANGELINA,Elementary,04 - 05,No,No,240,57.9%,1.3%,C,74,C,75,C,75,C,74,C,75,C,71,Targeted Support,,Not Earned,Not Earned,Not Earned,,Not Earned,Not Earned,Not Earned,001,017,057,009,003,003,ZONED SCHOOL-TRANSFERS ACCEPTED
003905,DIBOLL ISD,,,REGION 07: KILGORE,ANGELINA,District,,No,No,"1,744",70.6%,15.4%,A,90,B,89,A,92,C,76,A,92,B,84,,,,,,,,,Not Earned,,,,,,,
003905,DIBOLL ISD,003905001,DIBOLL H S,REGION 07: KILGORE,ANGELINA,High School,09 - 12,No,No,521,64.1%,15.5%,B,88,A,90,A,91,C,70,A,91,B,82,,,Not Earned,Not Earned,Earned,Not Earned,Not Earned,Not Earned,Not Earned,001,017,057,009,003,003,ZONED SCHOOL-TRANSFERS ACCEPTED
003905,DIBOLL ISD,003905004,STUBBLEFIELD LRN CTR,REGION 07: KILGORE,ANGELINA,High School,10 - 12,Yes,No,12,58.3%,16.7%,C,74,C,74,Not Rated,        .,Not Rated,        .,Not Rated,        .,Not Rated,        .,,,,,,,,,,001,017,057,009,003,003,COMBINED ENROLLMENT TYPE SCHOOL
003905,DIBOLL ISD,003905041,DIBOLL J H,REGION 07: KILGORE,ANGELINA,Middle School,06 - 08,No,No,384,66.7%,19.5%,C,76,C,73,C,77,C,72,C,77,C,73,,,Not Earned,Not Earned,Not Earned,Not Earned,Not Earned,Not Earned,Not Earned,001,017,057,009,003,003,ZONED SCHOOL-TRANSFERS ACCEPTED
003905,DIBOLL ISD,003905101,H G TEMPLE EL,REGION 07: KILGORE,ANGELINA,Elementary,KG - 02,No,No,325,77.2%,14.8%,B,82,Not Rated,        .,Not Rated,        .,Not Rated,        .,Not Rated,        .,Not Rated,        .,,,,,,,,,,001,017,057,009,003,003,ZONED SCHOOL-TRANSFERS ACCEPTED
003905,DIBOLL ISD,003905102,DIBOLL PRI,REGION 07: KILGORE,ANGELINA,Elementary,PK - PK,No,No,148,79.7%,10.8%,B,82,Not Rated,        .,Not Rated,        .,Not Rated,        .,Not Rated,        .,Not Rated,        .,,,,,,,,,,001,017,057,009,003,003,ZONED SCHOOL-TRANSFERS ACCEPTED
003905,DIBOLL ISD,003905103,H G TEMPLE INT,REGION 07: KILGORE,ANGELINA,Elementary,03 - 05,No,No,354,75.1%,13.3%,B,82,C,77,B,84,C,79,B,84,C,76,,,Not Earned,Not Earned,Not Earned,,Not Earned,Not Earned,Earned,001,017,057,009,003,003,ZONED SCHOOL-TRANSFERS ACCEPTED
003906,ZAVALLA ISD,,,REGION 07: KILGORE,ANGELINA,District,,No,No,300,68.7%,0.0%,B,88,B,86,A,92,Not Rated: Senate Bill 1365,60,A,92,C,79,,,,,,,,,Not Earned,,,,,,,
003906,ZAVALLA ISD,003906001,ZAVALLA H S,REGION 07: KILGORE,ANGELINA,Elem/Secondary,06 - 12,No,No,147,59.9%,0.0%,B,87,B,87,A,90,C,70,A,90,B,81,,,Earned,Not Earned,Not Earned,Not Earned,Not Earned,Not Earned,Not Earned,001,017,057,009,003,003,ZONED SCHOOL-TRANSFERS ACCEPTED
003906,ZAVALLA ISD,003906101,ZAVALLA EL,REGION 07: KILGORE,ANGELINA,Elementary,PK - 05,No,No,153,77.1%,0.0%,C,77,C,73,B,80,Not Rated: Senate Bill 1365,59,B,80,Not Rated: Senate Bill 1365,69,Targeted Support,,Not Earned,Not Earned,Not Earned,,Not Earned,Not Earned,Not Earned,001,017,057,009,003,003,ZONED SCHOOL-TRANSFERS ACCEPTED
