"DistrictNumber",District,"CampusNumber",Campus,Region,County,"SchoolType","GradesServed","AlternativeEducationAccountability",Charter,"Number ofStudents","%EconomicallyDisadvantaged","% EB/ELStudents","OverallRating","OverallScore","StudentAchievementRating","StudentAchievementScore","SchoolProgressRating","SchoolProgressScore","AcademicGrowthRating","AcademicGrowthScore","RelativePerformanceRating","RelativePerformanceScore","Closingthe Gaps Rating","Closingthe Gaps Score","SupportLabel","PublicEducationGrant","DistinctionELA/Reading","DistinctionMathematics","DistinctionScience","DistinctionSoc Studies","DistinctionProgress","DistinctionClosing the Gaps","DistinctionPostsecondaryReadiness","US CongressDistrict","US CongressElection District","TX HouseDistrict","TX HouseElection District","TX SenateDistrict","TX SenateElection District","Campus EnrollmentType"
049907,LINDSAY ISD,049907101,LINDSAY EL,REGION 11: FORT WORTH,COOKE,Elementary,KG - 06,No,No,251,17.1%,0.4%,A,91,B,89,B,80,B,80,Not Rated: Senate Bill 1365,66,A,94,,,Not Earned,Not Earned,Not Earned,,Not Earned,Not Earned,Not Earned,013,026,068,068,030,030,ZONED SCHOOL-TRANSFERS ACCEPTED
049908,WALNUT BEND ISD,,,REGION 11: FORT WORTH,COOKE,District,,No,No,56,89.3%,7.1%,A,92,Not Rated: Senate Bill 1365,62,A,92,A,92,Not Rated: Senate Bill 1365,69,Not Rated,        .,,,,,,,,,,,,,,,,
049908,WALNUT BEND ISD,049908101,WALNUT BEND EL,REGION 11: FORT WORTH,COOKE,Elementary,PK - 08,No,No,56,89.3%,7.1%,A,92,Not Rated: Senate Bill 1365,62,A,92,A,92,Not Rated: Senate Bill 1365,69,Not Rated,        .,,,Earned,Earned,,,Earned,,Not Earned,013,026,068,068,030,030,ZONED SCHOOL-TRANSFERS ACCEPTED
049909,SIVELLS BEND ISD,,,REGION 11: FORT WORTH,COOKE,District,,No,No,63,74.6%,0.0%,C,76,C,74,B,80,C,70,B,80,Not Rated: Senate Bill 1365,65,,,,,,,,,,,,,,,,
049909,SIVELLS BEND ISD,049909101,SIVELLS BEND EL,REGION 11: FORT WORTH,COOKE,Elementary,PK - 08,No,No,63,74.6%,0.0%,C,76,C,74,B,80,C,70,B,80,Not Rated: Senate Bill 1365,65,,,Not Earned,Not Earned,,,Not Earned,Not Earned,Not Earned,013,026,068,068,030,030,ZONED SCHOOL-TRANSFERS ACCEPTED
050901,EVANT ISD,,,REGION 12: WACO,CORYELL,District,,No,No,213,63.8%,12.7%,Not Rated: Senate Bill 1365,62,C,72,C,70,Not Rated: Senate Bill 1365,65,C,70,Not Rated: Senate Bill 1365,38,,,,,,,,,Not Earned,,,,,,,
050901,EVANT ISD,050901001,EVANT H S,REGION 12: WACO,CORYELL,Elem/Secondary,06 - 12,No,No,115,60.0%,9.6%,C,73,C,75,C,71,Not Rated: Senate Bill 1365,65,C,71,Not Rated: Senate Bill 1365,67,,,Not Earned,Not Earned,Not Earned,Not Earned,Not Earned,Not Earned,Not Earned,025,031,059,059,024,024,ZONED SCHOOL-TRANSFERS ACCEPTED
050901,EVANT ISD,050901101,EVANT EL,REGION 12: WACO,CORYELL,Elementary,PK - 05,No,No,98,68.4%,16.3%,C,79,Not Rated: Senate Bill 1365,54,C,79,C,79,Not Rated: Senate Bill 1365,53,Not Rated,        .,Comprehensive Progress,,Not Earned,Not Earned,Not Earned,,Not Earned,,Not Earned,025,031,059,059,024,024,ZONED SCHOOL-TRANSFERS ACCEPTED
050902,GATESVILLE ISD,,,REGION 12: WACO,CORYELL,District,,No,No,"2,689",58.5%,4.9%,B,86,B,87,B,89,B,80,B,89,B,80,,,,,,,,,Not Earned,,,,,,,
050902,GATESVILLE ISD,050902001,GATESVILLE H S,REGION 12: WACO,CORYELL,High School,09 - 12,No,No,801,51.6%,2.9%,B,83,B,85,B,83,C,76,B,83,C,77,,,Earned,Not Earned,Earned,Not Earned,Not Earned,Not Earned,Not Earned,025,031,059,059,024,024,ZONED SCHOOL-TRANSFERS ACCEPTED
