DISTRICT NAME,STAAR: % ALL SUBJECTS AT APPROACHES GRADE LEVEL STANDARD OR ABOVE,STAAR: % ALL SUBJECTS AT MEETS GRADE LEVEL STANDARD OR ABOVE, STAAR: % ALL SUBJECTS AT MASTERS GRADE LEVEL STANDARD,STAAR: % ELA/READING AT APPROACHES GRADE LEVEL STANDARD OR ABOVE,STAAR: % ELA/READING AT MEETS GRADE LEVEL STANDARD OR ABOVE,STAAR: % ELA/READING AT MASTERS GRADE LEVEL STANDARD,STAAR: % WRITING AT APPROACHES GRADE LEVEL STANDARD OR ABOVE,STAAR: % WRITING AT MEETS GRADE LEVEL STANDARD OR ABOVE,STAAR: % WRITING AT MASTERS GRADE LEVEL STANDARD,STAAR: % MATHEMATICS AT APPROACHES GRADE LEVEL STANDARD OR ABOVE,STAAR: % MATHEMATICS AT MEETS GRADE LEVEL STANDARD OR ABOVE,STAAR: % MATHEMATICS AT MASTERS GRADE LEVEL STANDARD,STAAR: % SCIENCE AT APPROACHES GRADE LEVEL STANDARD OR ABOVE,STAAR: % SCIENCE AT MEETS GRADE LEVEL STANDARD OR ABOVE,STAAR: % SCIENCE AT MASTERS GRADE LEVEL STANDARD,STAAR: % SOCIAL STUDIES AT APPROACHES GRADE LEVEL STANDARD OR ABOVE,STAAR: % SOCIAL STUDIES AT MEETS GRADE LEVEL STANDARD OR ABOVE, STAAR: % SOCIAL STUDIES AT MASTERS GRADE LEVEL STANDARD
HUCKABAY ISD,83,51,21,86,55,26,92,58,8,77,43,18,91,56,17,77,50,27
LINGLEVILLE ISD,71,40,17,77,48,14,59,22,8,64,33,19,76,40,18,77,49,28
MORGAN MILL ISD,74,39,17,78,46,16,55,23,14,76,41,16,88,44,32,50,19,6
CHILTON ISD,70,33,10,77,45,14,61,20,1,59,22,5,77,30,9,74,43,17
MARLIN ISD,46,21,7,48,25,7,39,14,3,47,21,9,40,15,4,51,28,10
WESTPHALIA ISD,90,64,38,84,58,33,97,67,33,98,74,52,85,67,24,73,27,27
ROSEBUD-LOTT ISD,63,35,14,63,38,14,43,27,8,60,30,12,71,38,12,73,48,28
BONHAM ISD,67,38,15,63,38,14,56,23,7,66,38,16,80,48,17,77,40,18
DODD CITY ISD,82,56,26,80,59,24,77,49,14,82,54,30,89,59,25,88,53,35
ECTOR ISD,64,30,8,64,34,6,59,21,0,63,25,8,66,25,10,73,44,17
HONEY GROVE ISD,75,50,20,73,51,21,64,33,5,80,50,24,77,50,17,81,58,26
LEONARD ISD,71,40,14,70,47,20,60,26,3,74,37,11,75,41,13,68,33,16
SAVOY ISD,79,51,22,86,60,26,77,54,13,74,43,20,85,40,18,64,51,33
TRENTON ISD,73,41,14,75,47,17,65,28,7,65,29,9,78,47,15,91,60,25
SAM RAYBURN ISD,77,45,19,77,48,21,71,41,10,72,41,16,81,40,17,90,58,39
FLATONIA ISD,89,66,38,89,65,34,83,57,31,92,71,44,83,60,29,92,74,57
LA GRANGE ISD,73,46,19,70,44,16,68,37,10,71,44,19,78,49,22,84,60,37
SCHULENBURG ISD,72,44,18,68,42,14,53,25,6,77,46,21,77,49,22,78,49,24
FAYETTEVILLE ISD,80,49,23,86,54,23,79,50,21,73,41,18,81,56,30,77,46,37
ROUND TOP-CARMINE ISD,88,64,31,82,62,28,85,50,8,91,66,34,94,70,32,94,79,64
ROBY CISD,63,32,13,67,41,14,54,17,4,57,26,15,72,37,10,70,27,9
ROTAN ISD,79,47,18,80,50,17,61,29,10,80,44,18,84,53,10,80,60,52
FLOYDADA ISD,71,41,15,62,33,8,55,21,1,80,53,27,83,50,17,73,43,9
LOCKNEY ISD,63,28,7,59,32,8,53,21,1,64,27,9,70,25,3,74,29,9
CROWELL ISD,61,30,11,59,36,12,42,16,5,57,26,7,70,33,9,78,30,26
LAMAR CISD,78,53,26,78,56,26,69,41,14,78,50,26,80,55,27,81,61,40
NEEDVILLE ISD,85,56,25,83,57,25,77,42,11,86,55,25,89,64,29,87,61,33
FORT BEND ISD,75,51,26,77,57,27,68,40,14,72,45,25,76,50,24,81,60,38
STAFFORD MSD,59,32,10,62,38,11,46,19,3,54,21,7,65,37,14,68,42,17
MOUNT VERNON ISD,73,44,19,72,46,18,46,20,5,81,51,23,70,40,17,75,45,26
FAIRFIELD ISD,69,41,17,69,45,17,60,31,9,63,33,14,81,49,20,76,47,26
TEAGUE ISD,75,44,16,74,48,15,63,29,7,79,44,18,74,39,15,78,47,23
WORTHAM ISD,70,35,14,71,40,13,50,15,6,71,34,14,72,32,13,79,45,25
DEW ISD,75,48,24,77,46,25,61,52,6,77,47,23,70,52,33,80,53,40
DILLEY ISD,46,21,7,51,27,9,31,15,5,41,14,5,51,24,6,52,21,7
PEARSALL ISD,43,17,5,46,24,6,32,9,1,36,11,4,50,16,5,52,24,7
SEAGRAVES ISD,54,28,11,47,22,7,34,16,6,58,34,13,66,29,12,80,43,22
LOOP ISD,76,45,20,79,47,22,65,13,0,73,40,16,83,57,17,80,64,44
SEMINOLE ISD,75,47,23,70,44,18,64,34,10,80,52,31,81,49,21,80,55,33
ODYSSEY ACADEMY INC,52,24,9,56,28,13,53,23,4,47,16,7,55,29,7,61,32,11
AMBASSADORS PREPARATORY ACADEMY,46,15,6,52,23,13,57,20,3,36,9,1,39,9,4,56,0,0
DICKINSON ISD,70,42,17,69,42,16,59,28,7,71,40,16,75,47,21,78,52,29
GALVESTON ISD,62,37,15,65,43,16,59,31,8,60,34,16,61,31,10,63,36,19
HIGH ISLAND ISD,80,48,22,74,46,20,68,21,5,80,41,14,89,55,25,94,74,54
TEXAS CITY ISD,56,30,12,55,31,10,49,24,6,57,29,13,58,32,13,62,36,18
HITCHCOCK ISD,57,30,10,58,33,10,43,18,4,55,29,10,61,29,10,64,36,17
SANTA FE ISD,69,40,16,67,40,16,61,28,5,72,39,17,71,43,16,77,54,29
CLEAR CREEK ISD,78,53,26,79,57,26,71,40,12,76,48,24,82,58,30,83,62,40
FRIENDSWOOD ISD,88,66,36,87,68,35,83,55,20,88,64,37,92,74,44,86,66,45
POST ISD,64,35,12,68,38,12,52,21,6,65,36,13,66,28,7,58,38,21
SOUTHLAND ISD,57,25,10,60,38,14,50,5,0,58,19,10,62,19,5,47,27,20
DOSS CONSOLIDATED CSD,92,38,23,100,60,40,-1,-1,-1,80,20,20,-1,-1,-1,-1,-1,-1
FREDERICKSBURG ISD,74,49,22,73,50,21,62,31,7,72,45,22,80,54,24,85,64,42
HARPER ISD,82,54,27,81,57,27,75,49,13,84,53,29,79,50,22,86,59,37
GLASSCOCK COUNTY ISD,91,68,38,92,64,34,98,74,33,93,75,50,84,63,25,81,58,31
GOLIAD ISD,70,41,16,68,42,16,73,37,11,69,40,15,73,39,13,73,48,24
GONZALES ISD,60,33,13,61,36,12,42,16,3,62,33,14,65,32,12,63,40,20
NIXON-SMILEY CISD,69,43,17,65,42,17,61,36,7,64,39,17,77,43,15,92,66,36
WAELDER ISD,52,24,11,52,25,8,43,9,7,42,14,7,56,27,12,82,60,36
LEFORS ISD,53,27,9,53,29,8,38,8,4,49,26,10,71,45,16,65,24,12
MCLEAN ISD,76,48,19,71,46,16,58,32,5,80,53,26,87,47,13,75,57,29
PAMPA ISD,66,39,15,63,38,13,57,30,8,68,38,18,75,44,16,70,43,19
GRANDVIEW-HOPKINS ISD,73,35,13,74,42,21,60,60,0,80,30,10,-1,-1,-1,,,
BELLS ISD,86,61,30,82,58,26,76,46,16,90,65,35,92,69,31,84,64,40
COLLINSVILLE ISD,70,40,13,70,44,16,69,34,6,68,37,12,72,38,13,71,45,19
DENISON ISD,75,46,21,73,48,19,68,35,8,75,44,21,78,52,26,80,53,31
HOWE ISD,81,53,23,81,53,23,69,38,9,80,48,19,91,70,32,86,61,35
SHERMAN ISD,65,36,13,64,39,14,55,27,4,64,32,11,75,43,16,68,41,20
TIOGA ISD,79,48,18,80,52,21,65,25,5,78,44,17,83,51,14,95,73,39
VAN ALSTYNE ISD,87,64,34,86,64,30,82,50,14,87,63,33,93,75,54,89,72,43
WHITESBORO ISD,78,48,19,77,49,20,68,32,7,77,44,18,84,51,16,84,61,37
WHITEWRIGHT ISD,84,56,28,80,53,24,74,43,11,88,57,30,87,56,31,94,76,51
POTTSBORO ISD,76,46,19,76,52,22,71,35,11,73,39,16,83,45,17,84,58,33
S AND S CISD,72,44,17,69,43,17,67,32,11,68,38,14,82,59,21,90,57,29
GUNTER ISD,84,57,25,86,62,28,77,51,13,82,49,20,87,64,32,85,56,32
TOM BEAN ISD,77,47,19,78,47,18,69,35,10,76,47,21,82,46,14,78,52,32
EAST TEXAS CHARTER SCHOOLS,82,61,22,70,55,7,,,,86,48,19,96,63,30,94,81,55
GLADEWATER ISD,63,33,11,65,37,13,50,18,1,61,29,10,67,34,8,71,43,26
KILGORE ISD,67,38,15,66,40,15,54,26,5,66,33,14,77,46,19,76,49,25
LONGVIEW ISD,75,48,24,74,49,23,67,38,14,78,50,27,77,47,24,76,50,27
PINE TREE ISD,70,41,15,69,43,15,59,27,4,74,42,16,71,39,14,74,48,25
SABINE ISD,80,50,22,81,51,23,79,42,12,77,46,20,82,52,22,86,64,40
SPRING HILL ISD,84,58,29,84,61,28,80,53,16,86,57,30,83,57,30,84,61,39
WHITE OAK ISD,78,50,21,79,53,25,63,29,8,80,52,21,77,46,15,80,53,29
ANDERSON-SHIRO CISD,82,55,24,81,56,24,82,36,8,84,58,29,83,57,23,84,53,28
IOLA ISD,77,53,26,79,56,26,68,44,14,78,51,28,81,54,17,76,61,40
NAVASOTA ISD,63,33,12,61,33,11,48,17,3,65,32,13,71,42,14,70,41,17
RICHARDS ISD,65,37,16,72,47,21,73,45,18,64,30,14,40,9,3,67,52,24
SEGUIN ISD,57,31,12,57,33,11,42,18,6,55,26,10,64,34,12,67,43,23
SCHERTZ-CIBOLO-U CITY ISD,78,52,23,77,52,20,63,30,6,79,50,23,83,60,31,87,65,43
NAVARRO ISD,78,51,22,80,54,22,67,31,8,80,49,23,83,56,26,70,51,30
MARION ISD,76,48,20,74,49,19,56,27,6,74,45,19,86,53,21,87,61,34
ABERNATHY ISD,77,49,21,74,49,18,62,34,14,79,49,24,84,56,23,80,54,28
COTTON CENTER ISD,77,54,27,80,61,31,80,40,40,68,45,20,78,48,22,87,67,33
HALE CENTER ISD,67,36,12,72,42,13,63,25,2,60,29,12,62,30,5,80,48,24
PETERSBURG ISD,79,48,17,76,45,15,66,29,0,87,58,23,85,51,11,71,38,26
PLAINVIEW ISD,67,40,16,65,39,14,55,25,4,71,41,18,71,42,17,68,44,24
MEMPHIS ISD,67,35,12,68,38,13,64,28,6,66,34,11,67,33,9,72,36,21
TURKEY-QUITAQUE ISD,85,56,28,89,70,28,70,43,17,87,52,32,85,50,33,79,41,18
HAMILTON ISD,79,53,26,77,54,26,70,47,12,81,51,27,85,60,29,85,58,31
HICO ISD,83,51,17,86,56,23,77,55,6,80,43,12,79,52,14,93,58,28
GRUVER ISD,94,72,39,92,66,31,89,51,16,100,83,53,92,74,39,93,73,48
PRINGLE-MORSE CISD,71,41,19,63,37,13,52,24,10,87,46,25,64,43,21,83,58,25
SPEARMAN ISD,85,62,31,81,59,28,75,41,9,86,63,37,93,72,35,93,76,39
CHILLICOTHE ISD,67,44,18,62,44,16,48,39,6,68,32,14,82,66,29,91,73,50
QUANAH ISD,74,43,18,72,40,16,52,18,5,75,44,20,71,45,13,89,61,33
KOUNTZE ISD,64,35,12,64,38,14,65,30,7,67,36,15,58,31,8,68,34,12
SILSBEE ISD,63,33,13,65,38,14,55,24,7,60,25,8,66,36,13,73,50,28
HARDIN-JEFFERSON ISD,81,54,25,79,52,22,78,47,16,82,55,26,83,58,32,82,59,38
LUMBERTON ISD,78,51,24,77,53,23,69,38,11,78,48,23,82,56,24,82,60,38
WEST HARDIN COUNTY CISD,61,30,7,63,36,10,73,31,3,56,21,4,58,24,2,63,39,18
SER-NINOS CHARTER SCHOOL,61,28,10,67,34,14,47,17,3,62,29,9,56,23,7,49,16,3
ARISTOI CLASSICAL ACADEMY,82,54,24,85,61,33,74,44,6,80,51,22,85,53,21,76,44,20
GEORGE I SANCHEZ CHARTER,39,14,3,41,19,4,31,6,0,32,7,2,44,10,2,45,23,8
RAUL YZAGUIRRE SCHOOLS FOR SUCCESS,54,24,7,60,32,10,53,20,3,47,16,5,51,16,4,62,33,17
UNIVERSITY OF HOUSTON CHARTER SCHO,84,48,28,87,57,40,88,63,25,87,47,27,71,21,7,,,
ACADEMY OF ACCELERATED LEARNING IN,48,22,9,53,26,12,41,17,2,47,21,11,40,20,1,,,
EXCEL ACADEMY,-1,-1,-1,-1,-1,-1,,,,-1,-1,-1,-1,-1,-1,,,
THE VARNETT PUBLIC SCHOOL,45,18,6,51,25,9,42,16,3,40,16,5,43,11,3,37,8,3
ALIEF MONTESSORI COMMUNITY SCHOOL,78,40,20,84,51,29,74,26,5,75,41,17,78,28,17,60,10,0
AMIGOS POR VIDA-FRIENDS FOR LIFE P,83,55,29,83,52,24,78,39,11,87,65,40,78,62,38,80,41,20
HOUSTON HEIGHTS HIGH SCHOOL,56,28,9,44,23,3,,,,55,15,5,43,19,0,78,43,22
HOUSTON GATEWAY ACADEMY INC,89,64,31,90,68,30,88,56,17,89,67,39,85,53,21,85,61,33
CALVIN NELMS CHARTER SCHOOLS,89,65,28,94,74,33,95,54,11,79,45,21,91,77,31,93,81,45
SOUTHWEST SCHOOL,37,14,3,41,17,4,29,6,0,37,13,4,36,9,1,37,17,6
TWO DIMENSIONS PREPARATORY ACADEMY,40,15,6,54,23,11,31,10,3,33,9,2,24,14,3,,,
COMQUEST ACADEMY,49,24,5,57,38,5,-1,-1,-1,33,7,0,44,11,0,63,38,25
YES PREP PUBLIC SCHOOLS INC,62,33,11,63,37,10,56,25,5,59,28,11,68,39,15,61,31,12
HARMONY SCIENCE ACADEMY,62,34,13,66,39,12,52,26,7,58,27,11,64,34,14,70,45,28
BEATRICE MAYES INSTITUTE CHARTER S,69,33,13,77,43,20,89,47,19,62,24,5,47,18,6,50,25,13
ACCELERATED INTERMEDIATE ACADEMY,58,33,16,62,37,16,55,42,13,54,28,19,59,24,0,,,
PROMISE COMMUNITY SCHOOL,42,16,6,48,20,8,25,6,1,42,16,5,43,19,6,22,4,0
MEYERPARK ELEMENTARY,53,24,9,60,34,16,48,17,0,43,18,7,65,15,0,,,
DRAW ACADEMY,35,11,4,44,17,6,36,11,2,31,8,3,33,8,2,14,4,2
HARMONY SCHOOL OF EXCELLENCE,65,37,16,69,43,18,57,25,6,60,32,14,66,37,16,69,44,26
STEP CHARTER SCHOOL,64,30,13,69,40,17,69,20,5,57,25,12,72,30,15,33,17,0
THE RHODES SCHOOL,51,22,9,59,27,14,42,20,0,47,20,8,44,15,6,67,33,0
HARMONY SCHOOL OF SCIENCE - HOUSTO,79,54,27,80,58,27,70,42,14,76,51,27,82,55,27,83,63,37
THE LAWSON ACADEMY,33,10,3,48,16,6,38,10,0,28,8,1,21,9,3,12,0,0
THE PRO-VISION ACADEMY,22,7,1,34,15,2,17,0,0,5,0,0,24,5,0,23,7,2
BETA ACADEMY,83,50,21,88,60,30,80,42,9,76,40,17,90,58,19,81,40,17
A+ UNLIMITED POTENTIAL,54,26,12,66,40,17,62,30,14,45,19,11,47,20,8,45,14,6
ETOILE ACADEMY CHARTER SCHOOL,58,26,12,59,32,18,69,26,14,57,23,7,43,8,3,,,
YELLOWSTONE COLLEGE PREPARATORY,41,14,3,49,24,8,45,10,0,38,9,2,40,14,0,22,2,0
LEGACY SCHOOL OF SPORT SCIENCES,57,25,5,64,39,8,79,45,0,38,3,1,62,18,2,55,27,10
BLOOM ACADEMY CHARTER SCHOOL,,,,,,,,,,,,,,,,,,
REVE PREPARATORY CHARTER SCHOOL,,,,,,,,,,,,,,,,,,
HOUSTON CLASSICAL CHARTER SCHOOL,,,,,,,,,,,,,,,,,,
ALDINE ISD,47,20,6,49,24,6,32,9,1,44,16,5,50,21,6,56,29,12
ALIEF ISD,55,29,10,55,32,10,45,19,4,52,24,9,57,30,11,67,44,22
CHANNELVIEW ISD,58,29,10,58,31,9,48,18,3,60,28,11,62,30,9,56,29,12
CROSBY ISD,69,40,15,70,42,16,60,28,5,72,39,15,71,41,16,67,42,21
CYPRESS-FAIRBANKS ISD,77,52,26,79,56,25,67,36,11,74,46,23,83,59,31,83,62,41
DEER PARK ISD,78,51,23,76,50,20,62,31,7,80,51,24,85,62,34,84,60,35
GALENA PARK ISD,62,33,12,63,36,11,51,22,5,63,33,14,66,35,12,62,35,16
GOOSE CREEK CISD,65,38,16,63,38,13,53,24,6,67,38,17,73,45,20,70,45,25
HOUSTON ISD,57,33,15,60,38,16,48,23,8,53,27,13,59,33,14,66,42,23
HUMBLE ISD,71,45,20,72,47,19,61,31,9,69,39,17,76,49,23,81,58,36
KATY ISD,86,65,37,86,66,36,79,52,21,85,62,36,88,69,42,89,72,52
KLEIN ISD,74,47,22,74,50,21,65,36,11,73,42,19,78,52,26,78,55,36
LA PORTE ISD,75,44,18,73,45,17,68,31,8,75,42,17,82,50,21,82,52,30
PASADENA ISD,61,33,12,61,35,12,50,20,4,61,30,11,65,35,12,69,42,21
SPRING ISD,51,25,8,52,28,9,43,17,3,48,20,7,54,25,9,58,34,16
SPRING BRANCH ISD,71,48,25,70,48,23,61,37,14,73,48,27,74,51,26,75,54,35
TOMBALL ISD,87,65,36,85,65,34,82,56,21,88,67,40,89,68,37,88,69,49
SHELDON ISD,50,23,7,52,27,8,38,12,2,48,19,7,54,23,6,56,30,12
HUFFMAN ISD,67,37,14,66,39,14,57,22,5,66,32,12,74,48,22,70,43,23
KARNACK ISD,60,25,10,61,30,13,65,19,8,59,27,9,56,16,8,60,0,0
MARSHALL ISD,57,31,11,54,31,10,49,21,3,59,29,12,65,36,14,62,37,18
WASKOM ISD,77,43,16,76,47,16,68,32,4,78,39,14,76,44,16,81,53,33
HALLSVILLE ISD,66,40,16,68,43,15,62,30,10,59,33,16,72,41,16,75,51,26
HARLETON ISD,88,61,28,85,61,29,93,65,28,89,57,29,88,65,27,88,59,28
ELYSIAN FIELDS ISD,84,53,21,83,56,23,77,37,9,87,53,21,86,50,19,90,60,25
CHANNING ISD,72,45,23,66,43,23,79,41,17,73,42,23,76,52,17,88,69,50
HARTLEY ISD,86,59,28,84,53,23,86,49,11,89,67,42,84,62,22,86,57,29
HASKELL CISD,68,37,13,70,40,15,59,26,1,65,32,10,64,33,5,79,60,38
RULE ISD,56,25,8,63,26,9,47,26,5,56,28,9,37,7,7,65,41,0
PAINT CREEK ISD,77,46,20,70,33,11,72,33,11,84,58,32,81,52,14,83,67,33
KATHERINE ANNE PORTER SCHOOL,75,46,21,68,45,10,,,,71,14,7,-1,-1,-1,94,76,53
TEXAS PREPARATORY SCHOOL,51,23,9,59,31,18,50,10,0,43,22,6,47,12,0,,,
KI CHARTER ACADEMY,,,,,,,,,,,,,,,,,,
SAN MARCOS CISD,54,29,11,57,33,11,44,18,4,46,19,7,62,34,13,66,42,21
DRIPPING SPRINGS ISD,85,60,30,85,64,30,74,45,15,83,55,27,89,66,36,91,69,46
WIMBERLEY ISD,80,56,27,82,63,31,73,43,14,79,50,26,84,64,33,73,41,17
HAYS CISD,68,41,17,68,43,17,59,29,7,67,36,16,72,44,19,72,48,27
CANADIAN ISD,77,48,19,78,52,21,63,23,3,75,45,20,84,54,18,81,55,28
ATHENS ISD,64,35,14,66,37,13,53,25,7,65,35,15,70,38,14,59,30,13
BROWNSBORO ISD,77,45,18,75,49,19,66,31,6,79,43,18,79,47,18,82,52,26
CROSS ROADS ISD,82,56,25,78,52,19,64,32,3,89,66,33,90,63,37,79,52,27
EUSTACE ISD,77,43,16,79,47,16,68,35,4,70,33,12,88,56,23,86,56,35
MALAKOFF ISD,84,54,23,83,57,25,80,41,8,83,50,21,88,63,27,89,60,33
TRINIDAD ISD,53,25,8,57,27,8,64,7,0,40,19,6,55,24,0,67,52,29
MURCHISON ISD,70,35,13,70,34,11,68,36,4,68,37,15,77,33,23,67,42,8
LAPOYNOR ISD,78,43,14,83,49,15,61,29,7,72,38,13,79,42,9,89,51,31
HORIZON MONTESSORI PUBLIC SCHOOLS,60,30,11,69,40,16,53,18,2,52,23,7,58,32,14,77,37,13
TRIUMPH PUBLIC HIGH SCHOOLS-RIO GR,52,22,4,38,17,0,,,,49,11,0,62,19,2,73,37,12
IDEA PUBLIC SCHOOLS,66,36,14,71,44,17,56,26,6,61,29,12,73,40,14,67,38,20
VANGUARD ACADEMY,60,31,12,69,42,17,57,27,7,49,19,6,59,29,11,65,34,18
EXCELLENCE IN LEADERSHIP ACADEMY,47,17,6,53,24,12,29,0,0,45,17,2,53,13,8,55,36,18
DONNA ISD,41,19,6,43,22,5,31,10,2,35,11,4,46,18,5,62,37,17
EDCOUCH-ELSA ISD,43,19,5,47,25,5,20,7,1,32,9,3,50,18,5,68,36,12
EDINBURG CISD,58,30,11,63,37,13,50,22,5,51,21,8,61,30,10,64,38,19
HIDALGO ISD,57,33,10,52,34,5,44,19,3,55,26,14,60,27,6,75,49,21
MCALLEN ISD,70,44,19,72,49,19,55,29,10,65,35,16,73,45,19,81,58,33
MERCEDES ISD,49,21,6,51,25,5,32,10,3,39,13,5,52,21,5,70,41,15
MISSION CISD,49,24,7,55,32,9,37,14,2,41,15,5,50,21,5,59,33,15
PHARR-SAN JUAN-ALAMO ISD,52,28,10,57,34,10,39,16,4,44,19,8,54,26,8,67,41,19
PROGRESO ISD,49,21,7,52,27,9,46,13,4,42,13,5,57,26,8,54,25,8
SHARYLAND ISD,70,43,18,73,49,18,62,32,8,64,35,17,73,45,17,77,53,30
LA JOYA ISD,50,25,8,54,31,10,36,13,4,45,18,7,53,24,8,57,33,14
WESLACO ISD,56,30,9,58,35,8,42,16,3,52,24,10,65,35,12,67,42,19
LA VILLA ISD,44,19,3,51,25,5,30,10,0,33,10,2,43,17,1,59,33,8
MONTE ALTO ISD,45,20,6,48,27,9,41,16,1,42,16,5,46,14,4,47,20,10
VALLEY VIEW ISD,62,36,12,62,41,11,62,37,12,57,24,8,65,37,12,72,44,22
ABBOTT ISD,85,58,27,85,62,28,66,34,0,89,64,34,91,54,25,76,50,24
BYNUM ISD,78,46,19,79,50,24,66,24,3,84,49,20,79,53,17,68,36,7
COVINGTON ISD,67,34,10,70,43,11,48,20,2,70,31,11,72,36,9,62,27,11
HILLSBORO ISD,73,43,19,71,41,16,55,25,6,76,46,23,79,44,16,83,60,35
HUBBARD ISD,68,37,16,73,49,22,63,33,8,65,28,12,63,29,13,67,36,21
ITASCA ISD,63,31,8,65,37,9,56,14,1,56,23,6,69,33,11,80,54,14
MALONE ISD,58,31,12,61,31,14,47,21,11,59,30,9,52,35,13,67,44,11
MOUNT CALM ISD,62,26,7,60,21,2,40,8,0,68,35,12,67,23,10,67,38,14
WHITNEY ISD,71,41,16,73,43,16,53,19,1,73,43,20,74,41,15,67,42,19
AQUILLA ISD,83,54,25,82,58,29,76,49,18,85,52,22,82,51,18,87,51,33
BLUM ISD,77,47,16,77,56,17,65,31,6,80,44,18,82,41,12,69,49,24
PENELOPE ISD,71,39,13,68,43,12,71,21,4,71,38,16,79,35,10,73,50,23
ANTON ISD,52,20,5,59,23,3,38,8,0,39,8,1,65,28,2,56,44,28
LEVELLAND ISD,65,35,13,62,34,11,52,19,4,66,34,12,74,42,17,75,47,24
ROPES ISD,82,56,24,83,63,27,68,34,6,86,55,24,85,57,24,74,48,28
SMYER ISD,79,46,18,76,49,19,73,31,4,85,49,19,80,44,14,75,43,26
SUNDOWN ISD,89,60,27,89,60,27,79,44,11,95,69,33,87,52,17,86,61,37
WHITHARRAL ISD,85,56,25,85,55,22,74,48,22,83,55,24,95,64,38,92,54,25
LAKE GRANBURY ACADEMY CHARTER SCHO,,,,,,,,,,,,,,,,,,
GRANBURY ISD,74,48,22,73,47,20,61,35,11,76,48,22,81,56,27,81,58,38
LIPAN ISD,79,50,20,78,51,20,71,41,13,79,48,19,87,54,22,84,61,27
TOLAR ISD,82,55,23,80,54,21,71,37,8,84,55,24,88,65,30,91,60,36
SULPHUR SPRINGS ISD,71,45,21,67,42,18,57,28,6,74,47,23,78,53,26,77,53,33
CUMBY ISD,69,35,14,68,40,18,65,27,2,63,25,9,80,43,14,81,39,23
NORTH HOPKINS ISD,72,46,19,73,51,20,64,35,3,75,45,22,67,41,12,76,45,29
MILLER GROVE ISD,77,40,14,85,52,24,56,16,7,77,37,9,75,38,7,75,28,9
COMO-PICKTON CISD,73,41,16,72,43,14,58,24,7,73,41,17,82,45,14,74,49,30
SALTILLO ISD,71,41,15,73,44,16,58,20,5,73,41,17,76,47,12,66,46,23
SULPHUR BLUFF ISD,79,46,14,79,51,16,79,46,7,79,39,11,84,46,8,75,47,31
CROCKETT ISD,53,28,9,54,30,9,42,20,3,50,22,7,59,33,14,65,39,18
GRAPELAND ISD,65,34,12,65,39,15,41,13,3,67,29,9,74,39,16,70,40,16
LOVELADY ISD,85,51,21,88,58,24,81,41,12,82,42,16,88,58,23,90,58,31
LATEXO ISD,74,45,17,76,51,21,64,28,8,73,39,13,81,56,23,71,33,12
KENNARD ISD,66,37,14,68,37,15,48,24,0,69,37,13,73,42,27,59,38,14
BIG SPRING ISD,59,31,11,58,33,11,42,18,4,62,30,12,63,34,13,58,33,16
COAHOMA ISD,62,30,11,62,34,13,63,33,11,64,26,9,56,23,7,64,33,12
FORSAN ISD,79,48,18,77,50,20,80,41,7,78,41,14,84,58,19,84,54,30
FT HANCOCK ISD,57,28,9,63,36,12,45,9,0,46,17,2,55,29,8,78,48,31
SIERRA BLANCA ISD,63,26,8,57,26,10,54,15,0,63,15,6,73,39,9,76,41,12
DELL CITY ISD,60,42,22,62,41,21,50,38,25,44,39,22,79,42,16,86,71,43
CADDO MILLS ISD,86,59,27,85,62,26,80,47,15,88,61,28,87,58,29,85,60,33
CELESTE ISD,72,45,19,69,50,19,54,30,5,75,43,24,72,45,14,82,51,25
COMMERCE ISD,58,32,13,58,38,14,47,21,4,53,24,10,70,39,18,64,35,17
GREENVILLE ISD,50,26,10,50,29,9,48,23,5,46,20,8,55,26,11,63,36,18
LONE OAK ISD,73,45,18,74,48,19,54,26,12,74,45,16,75,44,17,82,52,30
QUINLAN ISD,60,34,12,61,37,13,44,19,5,57,28,10,67,40,16,71,44,21
WOLFE CITY ISD,80,50,20,79,51,19,76,39,6,79,47,22,85,54,23,83,58,26
CAMPBELL ISD,50,25,6,49,29,8,46,27,0,45,18,4,49,19,2,68,34,13
BLAND ISD,80,51,21,78,52,19,72,34,9,83,51,24,85,57,22,75,49,31
BOLES ISD,72,41,14,71,48,16,61,17,1,77,37,13,74,47,17,67,34,16
BORGER ISD,72,43,18,71,43,18,52,23,7,77,44,18,81,53,24,69,44,23
SANFORD-FRITCH ISD,72,44,17,70,46,16,54,29,6,70,37,16,82,50,20,87,61,29
PLEMONS-STINNETT-PHILLIPS CISD,74,41,16,76,46,19,62,31,10,72,39,15,81,44,14,74,35,16
SPRING CREEK ISD,72,34,10,77,39,15,85,46,0,64,23,5,69,38,13,79,50,21
IRION COUNTY ISD,84,57,26,86,65,31,73,49,18,80,53,24,89,45,16,88,65,35
BRYSON ISD,77,54,24,78,61,22,51,23,3,76,48,24,96,76,39,81,53,33
JACKSBORO ISD,72,45,20,69,43,18,69,41,15,73,43,19,76,53,24,76,51,29
PERRIN-WHITT CISD,75,41,15,77,46,15,63,31,6,75,33,13,72,41,11,92,67,38
EDNA ISD,74,44,17,71,40,14,65,33,6,75,46,20,84,52,22,82,52,28
GANADO ISD,73,40,15,71,42,14,57,20,1,76,44,19,79,40,12,76,43,26
INDUSTRIAL ISD,87,61,28,87,61,27,78,44,12,88,60,32,94,76,36,79,51,28
