DISTRICT NAME,STAAR: % ALL SUBJECTS AT APPROACHES GRADE LEVEL STANDARD OR ABOVE,STAAR: % ALL SUBJECTS AT MEETS GRADE LEVEL STANDARD OR ABOVE, STAAR: % ALL SUBJECTS AT MASTERS GRADE LEVEL STANDARD,STAAR: % ELA/READING AT APPROACHES GRADE LEVEL STANDARD OR ABOVE,STAAR: % ELA/READING AT MEETS GRADE LEVEL STANDARD OR ABOVE,STAAR: % ELA/READING AT MASTERS GRADE LEVEL STANDARD,STAAR: % WRITING AT APPROACHES GRADE LEVEL STANDARD OR ABOVE,STAAR: % WRITING AT MEETS GRADE LEVEL STANDARD OR ABOVE,STAAR: % WRITING AT MASTERS GRADE LEVEL STANDARD,STAAR: % MATHEMATICS AT APPROACHES GRADE LEVEL STANDARD OR ABOVE,STAAR: % MATHEMATICS AT MEETS GRADE LEVEL STANDARD OR ABOVE,STAAR: % MATHEMATICS AT MASTERS GRADE LEVEL STANDARD,STAAR: % SCIENCE AT APPROACHES GRADE LEVEL STANDARD OR ABOVE,STAAR: % SCIENCE AT MEETS GRADE LEVEL STANDARD OR ABOVE,STAAR: % SCIENCE AT MASTERS GRADE LEVEL STANDARD,STAAR: % SOCIAL STUDIES AT APPROACHES GRADE LEVEL STANDARD OR ABOVE,STAAR: % SOCIAL STUDIES AT MEETS GRADE LEVEL STANDARD OR ABOVE, STAAR: % SOCIAL STUDIES AT MASTERS GRADE LEVEL STANDARD
ROBERT LEE ISD,70,43,19,70,44,19,63,31,4,69,43,20,71,46,19,84,58,32
COLEMAN ISD,71,43,17,72,42,17,54,31,5,74,43,16,75,46,16,73,53,31
SANTA ANNA ISD,70,35,10,70,39,9,65,19,3,65,27,5,77,41,10,73,47,24
PANTHER CREEK CISD,75,42,18,79,50,21,72,39,11,74,42,14,64,25,11,76,44,32
IMAGINE INTERNATIONAL ACADEMY OF N,92,69,38,94,75,40,91,68,33,90,64,35,93,70,36,90,70,45
LONE STAR LANGUAGE ACADEMY,72,45,23,78,48,22,63,38,13,72,48,30,57,29,0,,,
ALLEN ISD,86,66,38,85,66,34,81,57,26,86,64,41,88,68,43,90,73,51
ANNA ISD,72,44,17,70,43,15,56,26,5,75,45,21,79,51,22,77,48,22
CELINA ISD,85,57,26,86,64,30,78,42,11,84,50,23,88,59,25,87,65,38
FARMERSVILLE ISD,78,47,19,78,50,19,70,37,12,76,39,15,81,53,22,85,60,38
FRISCO ISD,88,68,41,88,71,41,83,60,28,86,65,40,90,71,44,91,73,52
MCKINNEY ISD,81,59,30,82,62,30,72,44,14,80,55,29,84,61,34,86,65,43
MELISSA ISD,89,68,38,89,68,36,83,54,23,90,66,38,93,73,44,93,77,53
PLANO ISD,78,56,31,78,59,29,70,44,18,77,53,31,80,57,31,81,64,43
PRINCETON ISD,77,49,23,74,49,21,65,33,8,81,52,27,81,52,25,80,52,26
PROSPER ISD,85,61,31,85,63,30,81,52,17,85,59,33,88,64,34,90,68,45
WYLIE ISD,86,65,37,85,65,34,80,54,20,86,64,39,88,69,43,90,73,51
BLUE RIDGE ISD,77,52,23,74,52,22,74,50,15,81,54,28,80,49,17,80,52,23
COMMUNITY ISD,67,38,15,67,41,16,62,31,7,65,32,14,74,41,17,70,44,25
LOVEJOY ISD,94,79,49,93,77,44,92,73,37,96,84,56,95,79,49,94,79,56
WELLINGTON ISD,73,42,16,78,42,16,66,37,9,70,43,19,67,39,13,81,45,19
COLUMBUS ISD,68,38,13,64,38,12,61,28,5,67,35,13,78,45,19,75,47,22
RICE CISD,64,35,13,63,35,11,55,26,5,68,36,15,63,32,11,70,39,21
WEIMAR ISD,79,53,25,75,50,21,84,45,14,82,57,30,76,51,32,83,66,32
TRINITY CHARTER SCHOOL,,,,,,,,,,,,,,,,,,
NEW BRAUNFELS ISD,79,53,26,81,57,26,70,38,11,78,48,25,82,56,29,82,62,40
COMAL ISD,83,60,31,83,62,29,76,45,16,84,58,32,86,64,35,86,66,43
COMANCHE ISD,70,40,16,69,41,16,49,19,2,71,40,17,80,48,14,81,51,29
DE LEON ISD,80,50,19,82,55,19,64,40,9,79,46,19,83,45,10,88,65,38
GUSTINE ISD,70,42,19,68,41,18,50,33,6,77,48,23,68,43,28,71,36,14
SIDNEY ISD,73,45,20,73,52,21,67,38,14,69,30,13,77,50,23,90,67,38
EDEN CISD,51,25,10,58,32,9,30,15,0,52,21,14,43,20,4,58,24,18
PAINT ROCK ISD,58,23,7,61,31,9,47,18,0,53,13,4,61,22,6,73,33,20
GAINESVILLE ISD,62,34,13,60,34,10,53,21,5,65,34,14,62,37,15,63,48,24
MUENSTER ISD,90,67,34,90,71,33,87,64,28,91,67,34,90,56,35,92,69,49
VALLEY VIEW ISD,62,32,12,65,39,13,59,24,7,58,23,9,64,31,9,68,48,23
CALLISBURG ISD,78,48,21,76,52,22,64,36,11,78,40,19,87,56,24,83,56,36
ERA ISD,84,57,23,85,58,22,89,60,5,87,58,28,78,50,18,78,54,34
LINDSAY ISD,87,65,32,88,67,30,85,52,12,85,66,38,87,64,33,91,66,36
WALNUT BEND ISD,51,16,3,55,24,6,73,27,7,39,6,0,30,10,0,-1,-1,-1
SIVELLS BEND ISD,86,61,29,83,63,46,100,78,11,88,58,21,80,60,20,-1,-1,-1
EVANT ISD,57,29,10,63,37,11,39,8,3,53,23,7,59,33,11,65,35,18
GATESVILLE ISD,72,45,20,68,45,18,59,32,11,73,39,18,82,58,28,81,57,30
OGLESBY ISD,72,37,12,72,41,15,74,53,11,75,25,8,64,36,8,71,46,14
