DISTRICT NAME,TOTAL STUDENTS,SAT-AVERAGE SCORE (2021-2020),AVERAGE SALARY: TEACHER,Total OPERATING AND OTHER REVENUE PER PUPIL,Total OPERATING REVENUE (2020-21),TOTAL ACTUAL OPERATING EXPENDITURES (2020-21),TOTAL ACTUAL OPERATING EXPENDITURES PER PUPIL,TOTAL ACTUAL INSTRUCTIONAL EXPENDITURES,TOTAL ACTUAL INSTRUCTIONAL EXPENDITURES PER PUPIL
INGLESIDE ISD,1998,-1,63192,14438,26572819,23400494,11404,12331848,6010
MATHIS ISD,1441,883,53474,18969,24334260,21596023,14369,12204064,8120
ODEM-EDROY ISD,837,-1,52004,17367,12779880,11415877,13574,5661021,6731
SINTON ISD,2027,900,56943,16126,29306711,24734018,11966,13546922,6554
TAFT ISD,888,-1,55736,21069,17664411,14063917,14962,6874587,7313
SAN SABA ISD,730,879,52238,14509,9463129,9724516,13488,6058248,8403
RICHLAND SPRINGS ISD,120,,61153,23197,2345921,2481810,22159,1242944,11098
CHEROKEE ISD,126,983,55911,19315,2467901,2334516,18097,1330013,10310
SCHLEICHER ISD,499,1035,51952,14275,7331111,7080545,13590,4115761,7900
HERMLEIGH ISD,258,956,52121,15638,3302627,3566024,13457,1578405,5956
SNYDER ISD,2551,966,50343,13251,32832768,35263587,13521,21653158,8303
IRA ISD,275,-1,53585,17734,3428714,3155230,11600,1669902,6139
ALBANY ISD,510,1036,55777,12849,6425136,5934429,11798,3332747,6626
MORAN ISD,114,,51152,20794,2387107,2088266,17848,1258908,10760
CENTER ISD,2518,1007,52153,14301,32889261,29425920,11923,16314194,6610
JOAQUIN ISD,681,,54283,16502,9982735,8804340,13200,4768894,7150
SHELBYVILLE ISD,773,-1,53626,14297,10837098,9476149,12307,5427416,7049
TENAHA ISD,472,,66496,15133,7308765,7006899,14014,3542804,7086
TIMPSON ISD,643,941,51449,16894,10303667,8731086,13474,4250887,6560
EXCELSIOR ISD,68,,51297,19632,1368888,1346736,18968,757928,10675
TEXHOMA ISD,108,,47526,11031,1820732,1601619,9477,803195,4753
STRATFORD ISD,579,-1,51055,17031,9134084,7127911,12396,4335296,7540
CUMBERLAND ACADEMY,1926,980,44231,11002,21554738,17632618,8992,12307890,6276
UT TYLER UNIVERSITY ACADEMY,853,1191,50277,10608,8773109,7662124,9265,4989632,6033
ARP ISD,923,1053,50650,15550,12287648,11102854,12689,6331108,7236
BULLARD ISD,2788,1030,49384,12927,29410573,28061154,10541,14705762,5524
LINDALE ISD,4244,1133,52792,12513,45767933,42785181,10365,25128433,6087
TROUP ISD,1050,-1,51379,13603,13365182,12688733,12452,6962449,6833
TYLER ISD,18126,1027,53372,13082,192825460,181072671,10227,104634528,5910
WHITEHOUSE ISD,4896,1151,53251,11525,47406456,47084960,9787,26685387,5547
CHAPEL HILL ISD,3393,936,54296,12297,40194199,40079595,11743,21975142,6439
WINONA ISD,1077,882,50769,16075,14886200,14633242,13950,7809964,7445
BRAZOS RIVER CHARTER SCHOOL,182,,50338,14180,2935160,2939628,14201,1790055,8648
GLEN ROSE ISD,1982,1040,58884,15185,26519026,23576426,12318,12984452,6784
RIO GRANDE CITY GRULLA ISD,9007,983,53284,14409,128052561,128439977,12858,69320348,6940
SAN ISIDRO ISD,190,,50004,19732,3680967,3555636,18049,1825901,9269
ROMA ISD,5621,1116,56886,15362,83247376,76142541,12588,42220191,6980
BRECKENRIDGE ISD,1414,1039,48255,11472,16075189,14106731,10062,7409026,5285
STERLING CITY ISD,337,,51923,24208,6153529,5415059,16021,2582434,7640
ASPERMONT ISD,184,,45668,18150,3231843,3010674,14201,1366705,6447
SONORA ISD,684,-1,53031,15584,10387604,10463603,15056,5494047,7905
HAPPY ISD,259,,53870,13194,3549060,3595996,13368,2060245,7659
