DISTRICT NAME,TOTAL NUMBER OF SCHOOLS,TOTAL STUDENTS,Total OPERATING AND OTHER REVENUE PER PUPIL,Total OPERATING REVENUE (2020-21),DISTRICT SIZE
ROCKDALE ISD,4,1416,15830,20379074,"1,000 to 1,599"
THORNDALE ISD,3,594,14377,8252434,500 to 999
BUCKHOLTS ISD,1,140,18876,2549375,Under 500
GOLDTHWAITE ISD,3,532,20996,8737552,500 to 999
MULLIN ISD,4,195,23602,5031037,Under 500
PRIDDY ISD,1,123,20969,2205255,Under 500
COLORADO ISD,3,872,16640,12469894,500 to 999
LORAINE ISD,1,133,22731,2383857,Under 500
WESTBROOK ISD,1,258,14895,3227871,Under 500
BOWIE ISD,3,1685,13926,18654950,"1,600 to 2,999"
NOCONA ISD,3,805,15149,12176828,500 to 999
GOLD BURG ISD,1,144,20968,2273180,Under 500
MONTAGUE ISD,1,148,17301,2593600,Under 500
PRAIRIE VALLEY ISD,2,147,16539,2476736,Under 500
FORESTBURG ISD,1,175,16986,2475636,Under 500
SAINT JO ISD,2,322,18602,4752299,Under 500
TEXAS SERENITY ACADEMY,1,341,16349,6833752,Under 500
CONROE ISD,61,67490,11520,635907305,"50,000 and over"
MONTGOMERY ISD,11,9328,12300,85018018,"5,000 to 9,999"
WILLIS ISD,12,8395,11994,81045501,"5,000 to 9,999"
MAGNOLIA ISD,17,13613,12837,141690838,"10,000 to 24,999"
SPLENDORA ISD,7,4362,13146,47420943,"3,000 to 4,999"
NEW CANEY ISD,20,17098,13813,185901256,"10,000 to 24,999"
DUMAS ISD,9,4268,12731,44704983,"3,000 to 4,999"
SUNRAY COLLEGIATE ISD,3,618,16605,8027652,500 to 999
DAINGERFIELD-LONE STAR ISD,4,994,16092,15666824,500 to 999
PEWITT CISD,3,866,13718,11562533,500 to 999
MOTLEY COUNTY ISD,1,157,20042,3306476,Under 500
STEPHEN F AUSTIN STATE UNIVERSITY CHARTER SCHOOL,1,256,9676,2467267,Under 500
CHIRENO ISD,2,407,15353,6004142,Under 500
CUSHING ISD,2,554,17385,8069958,500 to 999
GARRISON ISD,4,748,12871,8783543,500 to 999
NACOGDOCHES ISD,10,5883,12425,67341075,"5,000 to 9,999"
WODEN ISD,3,759,13854,9930439,500 to 999
CENTRAL HEIGHTS ISD,3,1137,14105,14442008,"1,000 to 1,599"
MARTINSVILLE ISD,1,344,18213,5081917,Under 500
ETOILE ISD,1,93,19190,1568060,Under 500
DOUGLASS ISD,1,456,11983,5439378,Under 500
BLOOMING GROVE ISD,3,903,19722,11139923,500 to 999
CORSICANA ISD,8,5996,12465,68049592,"5,000 to 9,999"
DAWSON ISD,2,525,17366,8203422,500 to 999
FROST ISD,3,435,14908,5752730,Under 500
KERENS ISD,1,552,16584,8171336,500 to 999
MILDRED ISD,2,831,14918,9607300,500 to 999
RICE ISD,3,993,15378,13461310,500 to 999
BURKEVILLE ISD,1,232,18573,4751258,Under 500
NEWTON ISD,3,958,16575,15237901,500 to 999
DEWEYVILLE ISD,2,529,41510,6559171,500 to 999
ROSCOE COLLEGIATE ISD,4,3076,29616,17494876,"3,000 to 4,999"
SWEETWATER ISD,6,2052,14982,27939814,"1,600 to 2,999"
BLACKWELL CISD,1,155,39273,5623827,Under 500
HIGHLAND ISD,1,225,24365,4366272,Under 500
DR M L GARZA-GONZALEZ CHARTER SCHOOL,1,166,14006,3095381,Under 500
