DISTRICT NAME,TOTAL NUMBER OF SCHOOLS,TOTAL STUDENTS,Total OPERATING AND OTHER REVENUE PER PUPIL,Total OPERATING REVENUE (2020-21),DISTRICT SIZE
KNIPPA ISD,1,412,12780,5641736,Under 500
SABINAL ISD,3,393,19337,8011301,Under 500
UVALDE CISD,8,4103,14458,51551642,"3,000 to 4,999"
UTOPIA ISD,1,212,14671,2989808,Under 500
SAN FELIPE-DEL RIO CISD,15,9851,11901,111200335,"5,000 to 9,999"
COMSTOCK ISD,1,240,20242,4214884,Under 500
RANCH ACADEMY,1,75,18438,1124729,Under 500
CANTON ISD,4,2273,12580,22768396,"1,600 to 2,999"
EDGEWOOD ISD,4,1027,14332,13153534,"1,000 to 1,599"
GRAND SALINE ISD,5,1173,15409,15950290,"1,000 to 1,599"
MARTINS MILL ISD,2,511,14014,6005014,500 to 999
VAN ISD,5,2366,12224,25417139,"1,600 to 2,999"
WILLS POINT ISD,5,2628,11718,28813924,"1,600 to 2,999"
FRUITVALE ISD,3,427,15874,6652224,Under 500
BLOOMINGTON ISD,5,825,13999,11726486,500 to 999
VICTORIA ISD,28,13253,12063,140315045,"10,000 to 24,999"
NURSERY ISD,1,136,16200,2038013,Under 500
RAVEN SCHOOL,1,29,23549,918412,Under 500
SAM HOUSTON STATE UNIVERSITY CHARTER SCHOOL,1,432,12192,4876928,Under 500
NEW WAVERLY ISD,4,994,14950,13857414,500 to 999
HUNTSVILLE ISD,11,15260,9214,96828043,"10,000 to 24,999"
HEMPSTEAD ISD,4,1584,14289,19212148,"1,000 to 1,599"
WALLER ISD,8,8367,14097,88458161,"5,000 to 9,999"
ROYAL ISD,4,2572,15624,32394840,"1,600 to 2,999"
MONAHANS-WICKETT-PYOTE ISD,6,2039,20573,31827585,"1,600 to 2,999"
GRANDFALLS-ROYALTY ISD,1,147,19067,2400378,Under 500
BRENHAM ISD,7,4866,11648,54535045,"3,000 to 4,999"
BURTON ISD,2,519,17446,7781210,500 to 999
TRIUMPH PUBLIC HIGH SCHOOLS-LAREDO,2,182,14806,3582932,Under 500
LAREDO ISD,30,19716,13935,270875458,"10,000 to 24,999"
UNITED ISD,50,39243,12654,489265086,"25,000 to 49,999"
WEBB CISD,4,264,35561,7482546,Under 500
BOLING ISD,3,1141,11474,12555497,"1,000 to 1,599"
EAST BERNARD ISD,3,954,14080,11481441,500 to 999
EL CAMPO ISD,5,3404,13265,41353302,"3,000 to 4,999"
WHARTON ISD,4,1960,13652,22122115,"1,600 to 2,999"
LOUISE ISD,3,518,14101,6881205,500 to 999
SHAMROCK ISD,3,381,16210,6452202,Under 500
WHEELER ISD,1,406,14763,5657966,Under 500
KELTON ISD,1,137,27333,2373563,Under 500
FORT ELLIOTT CISD,1,159,31354,1851044,Under 500
BURKBURNETT ISD,7,3307,13906,39391751,"3,000 to 4,999"
ELECTRA ISD,2,454,20026,6839386,Under 500
IOWA PARK CISD,4,1921,12404,20871625,"1,600 to 2,999"
WICHITA FALLS ISD,26,13371,11225,142802416,"10,000 to 24,999"
CITY VIEW ISD,3,1121,18879,18351851,"1,000 to 1,599"
HARROLD ISD,1,105,25508,2690632,Under 500
VERNON ISD,6,1862,13332,24494134,"1,600 to 2,999"
NORTHSIDE ISD,1,236,14915,3322896,Under 500
LASARA ISD,2,327,18468,5272721,Under 500
LYFORD CISD,3,1428,16857,21037145,"1,000 to 1,599"
RAYMONDVILLE ISD,5,1959,21717,30293167,"1,600 to 2,999"
SAN PERLITA ISD,3,223,22057,4604313,Under 500
MERIDIAN WORLD SCHOOL LLC,1,1683,10312,17313738,"1,600 to 2,999"
GOODWATER MONTESSORI SCHOOL,1,369,12209,4175636,Under 500
FLORENCE ISD,4,1114,14841,14730876,"1,000 to 1,599"
GEORGETOWN ISD,21,12566,14610,130180092,"10,000 to 24,999"
GRANGER ISD,1,506,13851,6140832,500 to 999
HUTTO ISD,12,8932,12855,88892732,"5,000 to 9,999"
JARRELL ISD,5,2882,14596,25116654,"1,600 to 2,999"
LIBERTY HILL ISD,11,6824,12871,52322159,"5,000 to 9,999"
ROUND ROCK ISD,57,45990,11734,457218588,"25,000 to 49,999"
TAYLOR ISD,7,3014,14502,37188831,"3,000 to 4,999"
THRALL ISD,3,786,14027,10179772,500 to 999
LEANDER ISD,46,41543,12733,374903797,"25,000 to 49,999"
COUPLAND ISD,1,263,16238,2561235,Under 500
FLORESVILLE ISD,5,4010,11292,39030433,"3,000 to 4,999"
LA VERNIA ISD,5,3356,11327,31134038,"3,000 to 4,999"
POTH ISD,4,909,18492,10788063,500 to 999
STOCKDALE ISD,4,813,14569,10205218,500 to 999
KERMIT ISD,3,1270,15405,17440237,"1,000 to 1,599"
WINK-LOVING ISD,2,407,94549,22970287,Under 500
ALVORD ISD,3,786,15423,10108113,500 to 999
BOYD ISD,4,1228,12390,14297176,"1,000 to 1,599"
BRIDGEPORT ISD,4,2027,13944,26177046,"1,600 to 2,999"
CHICO ISD,3,576,15355,7623908,500 to 999
DECATUR ISD,6,3600,15914,38366130,"3,000 to 4,999"
PARADISE ISD,4,1281,12755,13837208,"1,000 to 1,599"
SLIDELL ISD,1,383,14048,4440486,Under 500
HAWKINS ISD,2,747,17375,9542550,500 to 999
MINEOLA ISD,4,1631,14510,22572811,"1,600 to 2,999"
QUITMAN ISD,3,1176,17815,19031883,"1,000 to 1,599"
YANTIS ISD,2,368,13305,4936276,Under 500
ALBA-GOLDEN ISD,3,857,13680,11305682,500 to 999
WINNSBORO ISD,4,1532,21267,20610434,"1,000 to 1,599"
DENVER CITY ISD,4,1596,16921,19264912,"1,000 to 1,599"
PLAINS ISD,3,410,29262,6451148,Under 500
GRAHAM ISD,4,2293,13271,27643310,"1,600 to 2,999"
NEWCASTLE ISD,1,212,17174,3280326,Under 500
OLNEY ISD,3,696,18880,12203200,500 to 999
ZAPATA COUNTY ISD,6,3284,11998,40846570,"3,000 to 4,999"
CRYSTAL CITY ISD,5,1779,15386,24049138,"1,600 to 2,999"
LA PRYOR ISD,2,484,18230,9304435,Under 500
